observation_date,PCAGDPAUA646NWDB
1960-01-01,1810.70642957010
1961-01-01,1877.70706376424
1962-01-01,1854.74615414162
1963-01-01,1967.21127365791
1964-01-01,2131.38029982805
1965-01-01,2281.11030526567
1966-01-01,2343.91591875670
1967-01-01,2580.11059164641
1968-01-01,2724.13067151750
1969-01-01,2991.47727876684
1970-01-01,3304.92736975744
1971-01-01,3495.22820088450
1972-01-01,3949.46164337606
1973-01-01,4770.81017208508
1974-01-01,6482.93848103472
1975-01-01,7003.84247098582
1976-01-01,7486.68260420840
1977-01-01,7775.65846867125
1978-01-01,8252.73445733837
1979-01-01,9294.51578251874
1980-01-01,10208.80368449430
1981-01-01,11853.66941864540
1982-01-01,12779.14591640230
1983-01-01,11515.74451210410
1984-01-01,12421.88077350170
1985-01-01,11441.58197071850
1986-01-01,11392.00439484770
1987-01-01,11651.33011698210
1988-01-01,14284.96079183300
1989-01-01,17834.45269102520
1990-01-01,18249.30145381690
1991-01-01,18859.90745769860
1992-01-01,18624.18773358660
1993-01-01,17699.87649157040
1994-01-01,18129.63530644560
1995-01-01,20448.12196858740
1996-01-01,22021.78390652280
1997-01-01,23646.62304573270
1998-01-01,21479.11420200920
1999-01-01,20712.66978055640
2000-01-01,21870.41596695940
2001-01-01,19695.72973791440
2002-01-01,20301.84317132560
2003-01-01,23718.13385018680
2004-01-01,30836.73068246850
2005-01-01,34479.76792983880
2006-01-01,36595.70715484230
2007-01-01,41051.61206522880
2008-01-01,49701.28178433350
2009-01-01,42816.56740028290
2010-01-01,52144.66547054680
2011-01-01,62605.60045830600
2012-01-01,68072.87323408011
2013-01-01,68190.70100356510
2014-01-01,62544.08737737260
2015-01-01,56739.02653465930
2016-01-01,49888.04108427360
2017-01-01,53901.71453921540
2018-01-01,57196.42207837780
2019-01-01,54972.70178854370
2020-01-01,51791.54017998400
2021-01-01,60607.77886051660
2022-01-01,64997.01365364750
2023-01-01,64835.91997545350
2024-01-01,64407.48425693200
